film_id,title,max_rate,rental_demand
272,"EDGE KISSING",4.99,15
276,"ELEMENT FREDDY",4.99,10
277,"ELEPHANT TROJAN",4.99,14
278,"ELF MURDER",4.99,7
279,"ELIZABETH SHANE",4.99,10
284,"ENEMY ODDS",4.99,29
289,"EVE RESURRECTION",4.99,7
294,"EXPECATIONS NATURAL",4.99,18
300,"FALCON VOLUME",4.99,22
307,"FELLOWSHIP AUTUMN",4.99,26
310,"FEVER EMPIRE",4.99,5
312,"FIDDLER LOST",4.99,10
313,"FIDELITY DEVIL",4.99,21
316,"FIRE WOLVES",4.99,7
320,"FLAMINGOS CONNECTICUT",4.99,23
321,"FLASH WARS",4.99,13
323,"FLIGHT LIES",4.99,12
324,"FLINTSTONES HAPPINESS",4.99,17
327,"FOOL MOCKINGBIRD",4.99,23
330,"FORRESTER COMANCHEROS",4.99,27
334,"FREDDY STORM",4.99,23
336,"FRENCH HOLIDAY",4.99,17
338,"FRISCO FORREST",4.99,9
340,"FRONTIER CABIN",4.99,6
342,"FUGITIVE MAGUIRE",4.99,11
346,"GALAXY SWEETHEARTS",4.99,18
347,"GAMES BOWFINGER",4.99,14
350,"GARDEN ISLAND",4.99,20
354,"GHOST GROUNDHOG",4.99,21
365,"GOLD RIVER",4.99,14
369,"GOODFELLAS SALUTE",4.99,31
371,"GOSFORD DONNIE",4.99,8
372,"GRACELAND DYNAMITE",4.99,6
381,"GRINCH MASSAGE",4.99,14
384,"GROSSE WONDERFUL",4.99,8
385,"GROUNDHOG UNCUT",4.99,18
390,"GUYS FALCON",4.99,9
392,"HALL CASSIDY",4.99,16
396,"HANGING DEEP",4.99,19
398,"HANOVER GALAXY",4.99,17
403,"HARRY IDAHO",4.99,30
405,"HAUNTED ANTITRUST",4.99,6
408,"HEAD STRANGER",4.99,22
409,"HEARTBREAKERS BRIGHT",4.99,20
411,"HEAVENLY GUN",4.99,7
412,"HEAVYWEIGHTS BEAST",4.99,23
420,"HOLES BRANNIGAN",4.99,15
421,"HOLIDAY GAMES",4.99,15
422,"HOLLOW JEOPARDY",4.99,10
426,"HOME PITY",4.99,14
435,"HOTEL HAPPINESS",4.99,9
439,"HUNCHBACK IMPOSSIBLE",4.99,20
444,"HUSTLER PARTY",4.99,22
446,"HYSTERICAL GRAIL",4.99,15
451,"IGBY MAKER",4.99,19
455,"IMPOSSIBLE PREJUDICE",4.99,14
456,"INCH JET",4.99,18
459,"INFORMER DOUBLE",4.99,5
460,"INNOCENT USUAL",4.99,26
465,"INTERVIEW LIAISONS",4.99,20
466,"INTOLERABLE INTENTIONS",4.99,9
469,"IRON MOON",4.99,11
470,"ISHTAR ROCKETEER",4.99,7
472,"ITALIAN AFRICAN",4.99,6
485,"JERSEY SASSY",4.99,6
486,"JET NEIGHBORS",4.99,20
487,"JINGLE SAGEBRUSH",4.99,13
499,"KING EVOLUTION",4.99,9
500,"KISS GLORY",4.99,22
501,"KISSING DOLLS",4.99,20
506,"LADY STAGE",4.99,17
508,"LAMBS CINCINATTI",4.99,10
510,"LAWLESS VISION",4.99,17
512,"LEAGUE HELLFIGHTERS",4.99,17
515,"LEGALLY SECRETARY",4.99,9
518,"LIAISONS SWEET",4.99,22
521,"LIES TREATMENT",4.99,27
527,"LOLA AGENT",4.99,24
532,"LOSER HUSTLER",4.99,15
543,"MADIGAN DORADO",4.99,10
551,"MAIDEN HOME",4.99,24
556,"MALTESE HOPE",4.99,22
563,"MASSACRE USUAL",4.99,30
565,"MATRIX SNOWMAN",4.99,9
568,"MEMENTO ZOOLANDER",4.99,13
570,"MERMAID INSECTS",4.99,16
575,"MIDSUMMER GROUNDHOG",4.99,22
578,"MILLION ACE",4.99,20
579,"MINDS TRUMAN",4.99,20
580,"MINE TITANS",4.99,19
583,"MISSION ZOOLANDER",4.99,18
587,"MOD SECRETARY",4.99,11
588,"MODEL FISH",4.99,15
591,"MONSOON CAUSE",4.99,9
596,"MOONSHINE CABIN",4.99,21
597,"MOONWALKER FOOL",4.99,13
603,"MOVIE SHAKESPEARE",4.99,27
611,"MUSKETEERS WAIT",4.99,17
614,"NAME DETECTIVE",4.99,23
624,"NIGHTMARE CHILL",4.99,25
627,"NORTH TEQUILA",4.99,11
632,"NUTS TIES",4.99,9
633,"OCTOBER SUBMARINE",4.99,11
637,"OPEN AFRICAN",4.99,21
639,"OPPOSITE NECKLACE",4.99,13
640,"OPUS ICE",4.99,11
648,"OUTLAW HANKY",4.99,14
653,"PANIC CLUB",4.99,7
654,"PANKY SUBMARINE",4.99,15
655,"PANTHER REDS",4.99,15
659,"PARK CITIZEN",4.99,8
661,"PAST SUICIDES",4.99,13
662,"PATHS CONTROL",4.99,10
666,"PAYCHECK WAIT",4.99,16
668,"PEAK FOREVER",4.99,20
670,"PELICAN COMFORTS",4.99,26
676,"PHILADELPHIA WIFE",4.99,23
680,"PINOCCHIO SIMON",4.99,20
682,"PITTSBURGH HUNCHBACK",4.99,12
683,"PITY BOUND",4.99,26
685,"PLATOON INSTINCT",4.99,9
686,"PLUTO OLEANDER",4.99,16
691,"POSEIDON FOREVER",4.99,17
694,"PREJUDICE OLEANDER",4.99,20
695,"PRESIDENT BANG",4.99,7
699,"PRIVATE DROP",4.99,5
703,"PUNK DIVORCE",4.99,8
706,"QUEEN LUKE",4.99,22
708,"QUILLS BULL",4.99,16
710,"RAGE GAMES",4.99,19
711,"RAGING AIRPLANE",4.99,13
715,"RANGE MOONWALKER",4.99,27
719,"RECORDS ZORRO",4.99,8
721,"REDS POCUS",4.99,9
725,"REQUIEM TYCOON",4.99,19
731,"RIGHT CRANES",4.99,10
734,"ROAD ROXANNE",4.99,19
739,"ROCKY WAR",4.99,16
745,"ROSES TREASURE",4.99,28
749,"RULES HUMAN",4.99,16
755,"SABRINA MIDNIGHT",4.99,21
763,"SATISFACTION CONFIDENTIAL",4.99,17
764,"SATURDAY LAMBS",4.99,28
765,"SATURN NAME",4.99,13
767,"SCALAWAG DUCK",4.99,32
768,"SCARFACE BANG",4.99,18
769,"SCHOOL JACKET",4.99,6
771,"SCORPION APOLLO",4.99,23
775,"SEATTLE EXPECATIONS",4.99,24
776,"SECRET GROUNDHOG",4.99,21
777,"SECRETARY ROUGE",4.99,18
778,"SECRETS PARADISE",4.99,20
779,"SENSE GREEK",4.99,7
780,"SENSIBILITY REAR",4.99,10
781,"SEVEN SWARM",4.99,5
785,"SHAWSHANK BUBBLE",4.99,19
791,"SHOW LORD",4.99,25
798,"SILVERADO GOLDFINGER",4.99,12
803,"SLACKER LIAISONS",4.99,17
804,"SLEEPING SUSPECTS",4.99,24
805,"SLEEPLESS MONSOON",4.99,20
814,"SNATCH SLIPPER",4.99,22
817,"SOLDIERS EVOLUTION",4.99,8
818,"SOMETHING DUCK",4.99,19
824,"SPARTACUS CHEAPER",4.99,9
826,"SPEED SUIT",4.99,9
827,"SPICE SORORITY",4.99,20
838,"STAGECOACH ARMAGEDDON",4.99,26
843,"STEEL SANTA",4.99,23
844,"STEERS ARMAGEDDON",4.99,15
845,"STEPMOM DREAM",4.99,20
846,"STING PERSONAL",4.99,21
853,"STRANGER STRANGERS",4.99,11
854,"STRANGERS GRAFFITI",4.99,17
856,"STREETCAR INTENTIONS",4.99,25
858,"SUBMARINE BED",4.99,15
859,"SUGAR WONKA",4.99,17
861,"SUIT WALLS",4.99,21
865,"SUNRISE LEAGUE",4.99,24
867,"SUPER WYOMING",4.99,13
871,"SWEDEN SHINING",4.99,18
878,"TEEN APOLLO",4.99,17
879,"TELEGRAPH VOYAGE",4.99,27
881,"TEMPLE ATTRACTION",4.99,12
883,"TEQUILA PAST",4.99,6
884,"TERMINATOR CLUB",4.99,6
887,"THIEF PELICAN",4.99,19
888,"THIN SAGEBRUSH",4.99,11
889,"TIES HUNGER",4.99,11
892,"TITANIC BOONDOCK",4.99,23
893,"TITANS JERK",4.99,29
897,"TORQUE BOUND",4.99,27
898,"TOURIST PELICAN",4.99,22
902,"TRADING PINOCCHIO",4.99,25
903,"TRAFFIC HOBBIT",4.99,5
904,"TRAIN BUNCH",4.99,4
905,"TRAINSPOTTING STRANGERS",4.99,11
908,"TRAP GUYS",4.99,16
911,"TRIP NEWTON",4.99,28
915,"TRUMAN CRAZY",4.99,23
918,"TWISTED PIRATES",4.99,11
919,"TYCOON GATHERING",4.99,12
922,"UNDEFEATED DALMATIONS",4.99,21
929,"USUAL UNTOUCHABLES",4.99,13
933,"VAMPIRE WHALE",4.99,12
934,"VANILLA DAY",4.99,9
938,"VELVET TERMINATOR",4.99,26
941,"VIDEOTAPE ARSENIC",4.99,29
944,"VIRGIN DAISY",4.99,17
946,"VIRTUAL SPOILERS",4.99,14
956,"WANDA CHAMBER",4.99,16
957,"WAR NOTTING",4.99,12
961,"WASH HEAVENLY",4.99,23
964,"WATERFRONT DELIVERANCE",4.99,17
968,"WEREWOLF LOLA",4.99,14
969,"WEST LION",4.99,16
971,"WHALE BIKINI",4.99,18
972,"WHISPERER GIANT",4.99,22
973,"WIFE TURN",4.99,31
979,"WITCHES PANIC",4.99,30
980,"WIZARD COLDBLOODED",4.99,16
985,"WONDERLAND CHRISTMAS",4.99,22
989,"WORKING MICROCOSMOS",4.99,25
994,"WYOMING STORM",4.99,13
995,"YENTL IDAHO",4.99,23
1000,"ZORRO ARK",4.99,31
