payment_id,customer_id,staff_id,rental_id,amount,pay_date,last_update_date
126,5,2,7652,0.99,2005-07-28,2006-02-15
127,5,2,7829,3.99,2005-07-28,2006-02-15
128,5,1,8263,2.99,2005-07-29,2006-02-15
129,5,1,8978,1.99,2005-07-30,2006-02-15
130,5,1,9493,4.99,2005-07-30,2006-02-15
131,5,1,9888,3.99,2005-07-31,2006-02-15
132,5,2,10609,4.99,2005-08-01,2006-02-15
133,5,1,10625,0.99,2005-08-01,2006-02-15
134,5,2,11001,4.99,2005-08-02,2006-02-15
135,5,1,11179,4.99,2005-08-02,2006-02-15
136,5,2,11930,3.99,2005-08-17,2006-02-15
137,5,1,12145,9.99,2005-08-18,2006-02-15
138,5,1,12797,2.99,2005-08-19,2006-02-15
139,5,1,13063,1.99,2005-08-19,2006-02-15
140,5,2,13877,0.99,2005-08-20,2006-02-15
141,5,2,14053,6.99,2005-08-20,2006-02-15
142,5,1,14430,6.99,2005-08-21,2006-02-15
143,5,2,14494,2.99,2005-08-21,2006-02-15
144,5,2,15232,0.99,2005-08-22,2006-02-15
145,5,2,13209,0.99,2006-02-14,2006-02-15
146,6,2,57,4.99,2005-05-25,2006-02-15
147,6,1,577,2.99,2005-05-28,2006-02-15
148,6,2,916,0.99,2005-05-30,2006-02-15
149,6,1,1575,3.99,2005-06-16,2006-02-15
150,6,2,1841,2.99,2005-06-16,2006-02-15
151,6,1,1966,0.99,2005-06-17,2006-02-15
152,6,1,2345,0.99,2005-06-18,2006-02-15
153,6,2,3983,0.99,2005-07-06,2006-02-15
154,6,2,4278,2.99,2005-07-07,2006-02-15
155,6,1,5553,0.99,2005-07-10,2006-02-15
156,6,2,6211,5.99,2005-07-11,2006-02-15
157,6,1,6248,7.99,2005-07-11,2006-02-15
158,6,2,6686,0.99,2005-07-12,2006-02-15
159,6,2,7099,2.99,2005-07-27,2006-02-15
160,6,2,7136,2.99,2005-07-27,2006-02-15
161,6,1,8101,0.99,2005-07-28,2006-02-15
162,6,1,10271,2.99,2005-08-01,2006-02-15
163,6,1,11023,2.99,2005-08-02,2006-02-15
164,6,1,11398,3.99,2005-08-02,2006-02-15
165,6,1,11591,6.99,2005-08-17,2006-02-15
166,6,1,11727,0.99,2005-08-17,2006-02-15
167,6,1,11853,0.99,2005-08-17,2006-02-15
168,6,2,12254,2.99,2005-08-18,2006-02-15
169,6,2,13451,6.99,2005-08-20,2006-02-15
170,6,1,14329,7.99,2005-08-21,2006-02-15
171,6,1,14377,4.99,2005-08-21,2006-02-15
172,6,1,15509,5.99,2005-08-23,2006-02-15
173,6,2,15603,0.99,2005-08-23,2006-02-15
174,7,2,46,5.99,2005-05-25,2006-02-15
175,7,2,117,0.99,2005-05-25,2006-02-15
176,7,2,748,2.99,2005-05-29,2006-02-15
177,7,1,975,4.99,2005-05-30,2006-02-15
178,7,1,1063,5.99,2005-05-31,2006-02-15
179,7,2,1810,0.99,2005-06-16,2006-02-15
180,7,1,2250,2.99,2005-06-18,2006-02-15
181,7,1,2709,0.99,2005-06-19,2006-02-15
182,7,1,2888,4.99,2005-06-20,2006-02-15
183,7,1,3007,0.99,2005-06-20,2006-02-15
184,7,2,3639,5.99,2005-07-06,2006-02-15
185,7,2,4238,2.99,2005-07-07,2006-02-15
186,7,2,4787,5.99,2005-07-08,2006-02-15
187,7,1,4856,4.99,2005-07-08,2006-02-15
188,7,1,5441,8.99,2005-07-09,2006-02-15
189,7,1,5921,7.99,2005-07-10,2006-02-15
190,7,1,6174,1.99,2005-07-11,2006-02-15
191,7,1,6295,2.99,2005-07-11,2006-02-15
192,7,2,6761,3.99,2005-07-12,2006-02-15
193,7,2,8422,5.99,2005-07-29,2006-02-15
194,7,2,9624,7.99,2005-07-31,2006-02-15
195,7,2,10330,6.99,2005-08-01,2006-02-15
196,7,1,10423,5.99,2005-08-01,2006-02-15
197,7,1,10514,4.99,2005-08-01,2006-02-15
198,7,2,10644,4.99,2005-08-01,2006-02-15
199,7,2,10989,3.99,2005-08-02,2006-02-15
200,7,2,11542,7.99,2005-08-17,2006-02-15
201,7,1,12367,8.99,2005-08-18,2006-02-15
202,7,1,12730,2.99,2005-08-18,2006-02-15
203,7,2,13373,2.99,2005-08-19,2006-02-15
204,7,1,13476,2.99,2005-08-20,2006-02-15
205,7,1,13594,0.99,2005-08-20,2006-02-15
206,7,1,14222,5.99,2005-08-21,2006-02-15
207,8,2,866,6.99,2005-05-30,2006-02-15
208,8,2,1305,2.99,2005-06-15,2006-02-15
209,8,1,2095,5.99,2005-06-17,2006-02-15
210,8,2,3114,4.99,2005-06-20,2006-02-15
211,8,1,3475,5.99,2005-07-05,2006-02-15
212,8,1,4003,0.99,2005-07-07,2006-02-15
213,8,2,4175,2.99,2005-07-07,2006-02-15
214,8,2,4409,3.99,2005-07-07,2006-02-15
215,8,1,4503,3.99,2005-07-08,2006-02-15
216,8,1,5300,2.99,2005-07-09,2006-02-15
217,8,2,5341,2.99,2005-07-09,2006-02-15
218,8,1,6375,4.99,2005-07-11,2006-02-15
219,8,1,6647,0.99,2005-07-12,2006-02-15
220,8,1,8809,1.99,2005-07-29,2006-02-15
221,8,2,9629,2.99,2005-07-31,2006-02-15
222,8,2,10141,0.99,2005-07-31,2006-02-15
223,8,2,10561,2.99,2005-08-01,2006-02-15
224,8,1,11232,9.99,2005-08-02,2006-02-15
225,8,2,11284,2.99,2005-08-02,2006-02-15
226,8,1,12613,2.99,2005-08-18,2006-02-15
227,8,1,14114,0.99,2005-08-21,2006-02-15
228,8,1,15374,7.99,2005-08-22,2006-02-15
229,8,1,15764,2.99,2005-08-23,2006-02-15
230,8,1,15805,4.99,2005-08-23,2006-02-15
231,9,2,350,4.99,2005-05-27,2006-02-15
232,9,2,877,0.99,2005-05-30,2006-02-15
233,9,2,1075,4.99,2005-05-31,2006-02-15
234,9,2,3142,7.99,2005-06-20,2006-02-15
235,9,2,3262,4.99,2005-06-21,2006-02-15
236,9,1,4454,2.99,2005-07-07,2006-02-15
237,9,2,4748,0.99,2005-07-08,2006-02-15
238,9,1,4796,1.99,2005-07-08,2006-02-15
239,9,1,5659,2.99,2005-07-10,2006-02-15
240,9,2,6019,4.99,2005-07-11,2006-02-15
241,9,1,6165,5.99,2005-07-11,2006-02-15
242,9,2,7616,0.99,2005-07-28,2006-02-15
243,9,1,7801,2.99,2005-07-28,2006-02-15
244,9,1,9043,4.99,2005-07-30,2006-02-15
245,9,1,10451,0.99,2005-08-01,2006-02-15
246,9,1,10454,4.99,2005-08-01,2006-02-15
247,9,2,11400,5.99,2005-08-02,2006-02-15
248,9,1,11556,0.99,2005-08-17,2006-02-15
249,9,1,12228,2.99,2005-08-18,2006-02-15
250,9,1,12309,2.99,2005-08-18,2006-02-15
251,9,2,12652,4.99,2005-08-18,2006-02-15
252,9,2,14489,7.99,2005-08-21,2006-02-15
253,9,1,15813,4.99,2006-02-14,2006-02-15
254,10,2,1140,4.99,2005-05-31,2006-02-15
255,10,1,1801,4.99,2005-06-16,2006-02-15
256,10,1,1995,4.99,2005-06-17,2006-02-15
257,10,2,2222,3.99,2005-06-18,2006-02-15
258,10,1,2814,0.99,2005-06-19,2006-02-15
259,10,1,2865,0.99,2005-06-20,2006-02-15
260,10,2,3790,3.99,2005-07-06,2006-02-15
261,10,2,4042,4.99,2005-07-07,2006-02-15
262,10,1,4255,1.99,2005-07-07,2006-02-15
263,10,1,5038,7.99,2005-07-09,2006-02-15
264,10,2,5068,2.99,2005-07-09,2006-02-15
265,10,1,5444,0.99,2005-07-09,2006-02-15
266,10,1,5905,2.99,2005-07-10,2006-02-15
267,10,1,7738,2.99,2005-07-28,2006-02-15
268,10,2,8001,6.99,2005-07-28,2006-02-15
269,10,2,8188,4.99,2005-07-28,2006-02-15
270,10,1,9935,4.99,2005-07-31,2006-02-15
271,10,2,10671,8.99,2005-08-01,2006-02-15
272,10,2,11289,2.99,2005-08-02,2006-02-15
273,10,1,11405,0.99,2005-08-02,2006-02-15
274,10,2,12031,2.99,2005-08-17,2006-02-15
275,10,2,12400,2.99,2005-08-18,2006-02-15
276,10,2,13316,4.99,2005-08-19,2006-02-15
277,10,2,13917,2.99,2005-08-20,2006-02-15
278,10,1,15370,5.99,2005-08-22,2006-02-15
279,11,1,987,6.99,2005-05-30,2006-02-15
280,11,1,1470,6.99,2005-06-15,2006-02-15
281,11,1,1939,7.99,2005-06-17,2006-02-15
282,11,1,3192,0.99,2005-06-20,2006-02-15
283,11,2,4608,2.99,2005-07-08,2006-02-15
284,11,1,4943,4.99,2005-07-08,2006-02-15
285,11,2,5835,5.99,2005-07-10,2006-02-15
286,11,2,6146,6.99,2005-07-11,2006-02-15
287,11,1,7314,4.99,2005-07-27,2006-02-15
288,11,1,8014,4.99,2005-07-28,2006-02-15
289,11,2,8100,2.99,2005-07-28,2006-02-15
290,11,2,8447,1.99,2005-07-29,2006-02-15
291,11,1,8715,0.99,2005-07-29,2006-02-15
292,11,1,8950,9.99,2005-07-30,2006-02-15
293,11,2,9292,6.99,2005-07-30,2006-02-15
294,11,1,10812,4.99,2005-08-01,2006-02-15
295,11,2,11166,6.99,2005-08-02,2006-02-15
296,11,2,11502,0.99,2005-08-16,2006-02-15
297,11,2,12015,5.99,2005-08-17,2006-02-15
298,11,2,13572,0.99,2005-08-20,2006-02-15
299,11,1,13790,4.99,2005-08-20,2006-02-15
300,11,1,15120,0.99,2005-08-22,2006-02-15
301,11,2,15240,2.99,2005-08-22,2006-02-15
302,11,1,11646,0.99,2006-02-14,2006-02-15
303,12,1,988,4.99,2005-05-30,2006-02-15
304,12,1,1084,4.99,2005-05-31,2006-02-15
305,12,2,1752,5.99,2005-06-16,2006-02-15
306,12,2,2434,5.99,2005-06-18,2006-02-15
307,12,2,2500,5.99,2005-06-18,2006-02-15
308,12,2,2623,4.99,2005-06-19,2006-02-15
309,12,2,3135,2.99,2005-06-20,2006-02-15
310,12,1,3411,0.99,2005-06-21,2006-02-15
311,12,1,3870,3.99,2005-07-06,2006-02-15
312,12,1,5071,0.99,2005-07-09,2006-02-15
313,12,1,5074,0.99,2005-07-09,2006-02-15
314,12,2,5111,0.99,2005-07-09,2006-02-15
315,12,2,5242,3.99,2005-07-09,2006-02-15
316,12,1,6773,2.99,2005-07-12,2006-02-15
317,12,2,7008,0.99,2005-07-27,2006-02-15
318,12,2,7279,0.99,2005-07-27,2006-02-15
319,12,2,8985,0.99,2005-07-30,2006-02-15
320,12,2,9166,4.99,2005-07-30,2006-02-15
321,12,2,9238,5.99,2005-07-30,2006-02-15
322,12,1,9627,5.99,2005-07-31,2006-02-15
323,12,2,9708,5.99,2005-07-31,2006-02-15
324,12,2,10392,10.99,2005-08-01,2006-02-15
325,12,2,11497,0.99,2005-08-16,2006-02-15
326,12,1,12604,4.99,2005-08-18,2006-02-15
327,12,2,13519,0.99,2005-08-20,2006-02-15
328,12,2,13895,2.99,2005-08-20,2006-02-15
329,12,2,14240,4.99,2005-08-21,2006-02-15
330,12,1,15993,0.99,2005-08-23,2006-02-15
331,13,1,1933,2.99,2005-06-17,2006-02-15
332,13,1,2209,4.99,2005-06-18,2006-02-15
333,13,1,2952,2.99,2005-06-20,2006-02-15
334,13,1,3047,8.99,2005-06-20,2006-02-15
335,13,2,3946,2.99,2005-07-06,2006-02-15
336,13,1,6118,8.99,2005-07-11,2006-02-15
337,13,1,6568,2.99,2005-07-12,2006-02-15
338,13,1,6870,0.99,2005-07-12,2006-02-15
339,13,1,6897,2.99,2005-07-12,2006-02-15
340,13,1,7916,2.99,2005-07-28,2006-02-15
341,13,1,8277,2.99,2005-07-29,2006-02-15
342,13,2,8831,11.99,2005-07-29,2006-02-15
343,13,2,9260,9.99,2005-07-30,2006-02-15
344,13,2,9434,0.99,2005-07-30,2006-02-15
345,13,1,9664,0.99,2005-07-31,2006-02-15
346,13,1,9736,7.99,2005-07-31,2006-02-15
347,13,1,10003,4.99,2005-07-31,2006-02-15
348,13,1,11292,4.99,2005-08-02,2006-02-15
349,13,2,11315,0.99,2005-08-02,2006-02-15
350,13,2,11761,5.99,2005-08-17,2006-02-15
351,13,2,12918,7.99,2005-08-19,2006-02-15
352,13,2,13096,4.99,2005-08-19,2006-02-15
353,13,2,13213,0.99,2005-08-19,2006-02-15
354,13,1,13456,0.99,2005-08-20,2006-02-15
355,13,1,14252,9.99,2005-08-21,2006-02-15
356,13,2,14545,7.99,2005-08-21,2006-02-15
357,13,1,15338,4.99,2005-08-22,2006-02-15
358,14,1,151,0.99,2005-05-26,2006-02-15
359,14,1,346,9.99,2005-05-27,2006-02-15
360,14,1,525,5.99,2005-05-28,2006-02-15
361,14,1,671,2.99,2005-05-28,2006-02-15
362,14,2,815,0.99,2005-05-29,2006-02-15
363,14,2,1360,4.99,2005-06-15,2006-02-15
364,14,1,3707,2.99,2005-07-06,2006-02-15
365,14,1,4952,0.99,2005-07-08,2006-02-15
366,14,1,5104,0.99,2005-07-09,2006-02-15
367,14,2,5317,7.99,2005-07-09,2006-02-15
368,14,1,5383,4.99,2005-07-09,2006-02-15
369,14,1,5565,7.99,2005-07-10,2006-02-15
370,14,1,8035,6.99,2005-07-28,2006-02-15
371,14,1,8042,0.99,2005-07-28,2006-02-15
372,14,1,8548,3.99,2005-07-29,2006-02-15
373,14,2,8836,4.99,2005-07-29,2006-02-15
374,14,2,9438,4.99,2005-07-30,2006-02-15
375,14,1,9592,2.99,2005-07-31,2006-02-15
376,14,1,10348,2.99,2005-08-01,2006-02-15
377,14,2,10526,6.99,2005-08-01,2006-02-15
378,14,1,11480,4.99,2005-08-02,2006-02-15
379,14,2,11528,3.99,2005-08-17,2006-02-15
380,14,1,12668,2.99,2005-08-18,2006-02-15
381,14,1,13757,4.99,2005-08-20,2006-02-15
382,14,2,15015,6.99,2005-08-22,2006-02-15
383,14,1,15373,0.99,2005-08-22,2006-02-15
384,14,1,16045,0.99,2005-08-23,2006-02-15
385,14,1,13780,4.99,2006-02-14,2006-02-15
386,15,1,2486,2.99,2005-06-18,2006-02-15
387,15,1,2937,5.99,2005-06-20,2006-02-15
388,15,2,3182,0.99,2005-06-20,2006-02-15
389,15,1,3550,7.99,2005-07-06,2006-02-15
390,15,1,4127,5.99,2005-07-07,2006-02-15
391,15,1,5717,2.99,2005-07-10,2006-02-15
392,15,2,5975,2.99,2005-07-11,2006-02-15
393,15,1,7105,4.99,2005-07-27,2006-02-15
394,15,1,8193,0.99,2005-07-28,2006-02-15
395,15,2,8615,6.99,2005-07-29,2006-02-15
396,15,2,8927,4.99,2005-07-30,2006-02-15
397,15,1,9987,2.99,2005-07-31,2006-02-15
398,15,1,11118,2.99,2005-08-02,2006-02-15
399,15,1,11141,2.99,2005-08-02,2006-02-15
400,15,2,11307,2.99,2005-08-02,2006-02-15
401,15,2,11341,2.99,2005-08-02,2006-02-15
402,15,1,11922,7.99,2005-08-17,2006-02-15
403,15,2,12272,2.99,2005-08-18,2006-02-15
404,15,2,12551,2.99,2005-08-18,2006-02-15
405,15,1,12635,2.99,2005-08-18,2006-02-15
406,15,2,13339,8.99,2005-08-19,2006-02-15
407,15,1,13393,5.99,2005-08-19,2006-02-15
408,15,2,13503,5.99,2005-08-20,2006-02-15
409,15,1,13541,4.99,2005-08-20,2006-02-15
410,15,2,13677,3.99,2005-08-20,2006-02-15
411,15,2,14569,0.99,2005-08-21,2006-02-15
412,15,2,14776,4.99,2005-08-21,2006-02-15
413,15,2,14872,8.99,2005-08-22,2006-02-15
414,15,1,15178,0.99,2005-08-22,2006-02-15
415,15,1,15897,4.99,2005-08-23,2006-02-15
416,15,1,13798,3.98,2006-02-14,2006-02-15
417,15,2,13968,0.00,2006-02-14,2006-02-15
418,16,1,335,3.99,2005-05-27,2006-02-15
419,16,1,593,2.99,2005-05-28,2006-02-15
420,16,2,887,0.99,2005-05-30,2006-02-15
421,16,1,1017,2.99,2005-05-31,2006-02-15
422,16,2,1934,6.99,2005-06-17,2006-02-15
423,16,1,1944,7.99,2005-06-17,2006-02-15
424,16,1,NULL,1.99,2005-06-18,2006-02-15
425,16,1,2960,7.99,2005-06-20,2006-02-15
426,16,2,3348,0.99,2005-06-21,2006-02-15
427,16,1,3548,0.99,2005-07-06,2006-02-15
428,16,2,4219,2.99,2005-07-07,2006-02-15
429,16,2,4263,3.99,2005-07-07,2006-02-15
430,16,2,4517,4.99,2005-07-08,2006-02-15
431,16,1,6100,4.99,2005-07-11,2006-02-15
432,16,2,7489,0.99,2005-07-27,2006-02-15
433,16,2,7552,2.99,2005-07-27,2006-02-15
434,16,2,8452,5.99,2005-07-29,2006-02-15
435,16,2,9158,0.99,2005-07-30,2006-02-15
436,16,2,9610,5.99,2005-07-31,2006-02-15
437,16,2,10687,2.99,2005-08-01,2006-02-15
438,16,2,10727,2.99,2005-08-01,2006-02-15
439,16,2,11308,0.99,2005-08-02,2006-02-15
440,16,2,12104,2.99,2005-08-17,2006-02-15
441,16,1,12358,4.99,2005-08-18,2006-02-15
442,16,1,12577,7.99,2005-08-18,2006-02-15
443,16,2,13151,4.99,2005-08-19,2006-02-15
444,16,1,13391,4.99,2005-08-19,2006-02-15
445,16,1,13480,6.99,2005-08-20,2006-02-15
446,16,1,14511,8.99,2005-08-21,2006-02-15
447,17,2,287,2.99,2005-05-26,2006-02-15
448,17,1,580,2.99,2005-05-28,2006-02-15
449,17,2,884,4.99,2005-05-30,2006-02-15
450,17,2,2175,5.99,2005-06-18,2006-02-15
451,17,1,2684,8.99,2005-06-19,2006-02-15
452,17,2,3269,5.99,2005-06-21,2006-02-15
453,17,1,5714,3.99,2005-07-10,2006-02-15
454,17,1,5883,3.99,2005-07-10,2006-02-15
455,17,2,6884,1.99,2005-07-12,2006-02-15
456,17,2,8076,8.99,2005-07-28,2006-02-15
457,17,1,8213,2.99,2005-07-28,2006-02-15
458,17,2,9092,8.99,2005-07-30,2006-02-15
459,17,1,9138,2.99,2005-07-30,2006-02-15
460,17,2,9382,8.99,2005-07-30,2006-02-15
461,17,1,9489,0.99,2005-07-30,2006-02-15
462,17,2,11990,4.99,2005-08-17,2006-02-15
463,17,1,13732,2.99,2005-08-20,2006-02-15
464,17,1,14040,2.99,2005-08-20,2006-02-15
465,17,2,14326,2.99,2005-08-21,2006-02-15
466,17,1,14346,2.99,2005-08-21,2006-02-15
467,17,2,15752,5.99,2005-08-23,2006-02-15
468,18,1,50,2.99,2005-05-25,2006-02-15
469,18,1,116,4.99,2005-05-25,2006-02-15
470,18,1,692,4.99,2005-05-29,2006-02-15
471,18,2,1451,5.99,2005-06-15,2006-02-15
472,18,2,1783,4.99,2005-06-16,2006-02-15
473,18,2,2112,5.99,2005-06-17,2006-02-15
474,18,1,2990,8.99,2005-06-20,2006-02-15
475,18,2,4672,3.99,2005-07-08,2006-02-15
476,18,2,4724,3.99,2005-07-08,2006-02-15
477,18,2,4923,3.99,2005-07-08,2006-02-15
478,18,2,6128,2.99,2005-07-11,2006-02-15
479,18,1,6846,0.99,2005-07-12,2006-02-15
480,18,2,8122,2.99,2005-07-28,2006-02-15
481,18,1,8555,4.99,2005-07-29,2006-02-15
482,18,1,9036,4.99,2005-07-30,2006-02-15
483,18,2,9114,4.99,2005-07-30,2006-02-15
484,18,1,10682,4.99,2005-08-01,2006-02-15
485,18,2,10721,1.99,2005-08-01,2006-02-15
486,18,2,11094,4.99,2005-08-02,2006-02-15
487,18,2,11439,4.99,2005-08-02,2006-02-15
488,18,2,12333,0.99,2005-08-18,2006-02-15
489,18,2,13490,0.99,2005-08-20,2006-02-15
490,19,2,18,0.99,2005-05-25,2006-02-15
491,19,2,110,9.99,2005-05-25,2006-02-15
492,19,1,179,6.99,2005-05-26,2006-02-15
493,19,1,337,2.99,2005-05-27,2006-02-15
494,19,2,591,2.99,2005-05-28,2006-02-15
495,19,2,696,2.99,2005-05-29,2006-02-15
496,19,1,2657,2.99,2005-06-19,2006-02-15
497,19,1,2848,2.99,2005-06-19,2006-02-15
498,19,2,3423,2.99,2005-06-21,2006-02-15
499,19,2,3549,4.99,2005-07-06,2006-02-15
500,19,2,6495,4.99,2005-07-12,2006-02-15
501,19,1,9157,5.99,2005-07-30,2006-02-15
502,19,1,9256,0.99,2005-07-30,2006-02-15
503,19,2,10077,9.99,2005-07-31,2006-02-15
504,19,1,10176,7.99,2005-07-31,2006-02-15
505,19,2,11508,8.99,2005-08-16,2006-02-15
506,19,1,11869,5.99,2005-08-17,2006-02-15
507,19,1,12211,9.99,2005-08-18,2006-02-15
508,19,2,12357,2.99,2005-08-18,2006-02-15
509,19,1,13718,8.99,2005-08-20,2006-02-15
510,19,2,13804,8.99,2005-08-20,2006-02-15
511,19,1,14101,4.99,2005-08-21,2006-02-15
512,19,1,15047,2.99,2005-08-22,2006-02-15
513,19,2,15529,0.99,2005-08-23,2006-02-15
514,20,2,202,2.99,2005-05-26,2006-02-15
515,20,2,497,6.99,2005-05-28,2006-02-15
516,20,2,546,1.99,2005-05-28,2006-02-15
517,20,2,1558,0.99,2005-06-16,2006-02-15
