customer_id,total_inventory,total_amount
53,30,115.70
444,30,115.70
503,32,115.68
427,24,114.76
343,25,114.75
44,26,114.74
171,26,114.74
220,27,114.73
57,28,114.72
317,28,114.72
338,28,114.72
457,28,114.72
186,31,114.69
323,31,114.69
22,22,113.78
582,25,113.75
294,26,113.74
486,26,113.74
593,26,113.74
139,27,113.73
113,29,113.71
447,29,113.71
157,31,113.69
91,35,113.65
493,23,112.77
540,24,112.76
63,25,112.75
590,25,112.75
327,26,112.74
407,27,112.73
441,28,112.72
161,30,112.70
256,30,112.70
453,23,111.77
528,25,111.75
234,26,111.74
518,26,111.74
116,27,111.73
396,27,111.73
579,27,111.73
213,28,111.72
592,29,111.71
28,32,111.68
258,24,110.76
375,24,110.76
417,25,110.75
231,26,110.74
40,27,110.73
190,27,110.73
90,28,110.72
376,28,110.72
559,28,110.72
563,29,110.71
135,30,110.70
424,30,110.70
138,34,110.66
477,22,109.78
155,25,109.75
193,25,109.75
305,25,109.75
460,25,109.75
562,25,109.75
121,26,109.74
333,27,109.73
471,27,109.73
290,28,109.72
574,28,109.72
405,32,109.68
47,22,108.78
541,24,108.76
201,25,108.75
572,25,108.75
587,26,108.74
145,28,108.72
275,30,108.70
246,23,107.77
249,23,107.77
127,24,107.76
553,24,107.76
109,26,107.74
261,26,107.74
581,27,107.73
52,29,107.71
418,30,107.70
452,32,107.68
341,23,106.77
345,23,106.77
379,23,106.77
11,24,106.76
98,25,106.75
160,27,106.73
381,35,106.65
429,21,105.79
150,25,105.75
308,25,105.75
414,25,105.75
517,25,105.75
96,27,105.73
397,29,105.71
247,22,104.78
409,23,104.77
466,23,104.77
270,25,104.75
31,26,104.74
312,26,104.74
425,26,104.74
391,30,104.70
65,22,103.78
365,23,103.77
519,23,103.77
475,24,103.76
199,25,103.75
324,25,103.75
537,25,103.75
546,25,103.75
202,26,103.74
74,27,103.73
282,27,103.73
383,27,103.73
12,28,103.72
374,28,103.72
100,24,102.76
445,26,102.74
367,22,101.78
480,22,101.78
554,22,101.78
83,25,101.75
156,25,101.75
359,25,101.75
219,26,101.74
298,26,101.74
385,26,101.74
387,26,101.74
509,20,100.80
55,22,100.78
106,23,100.77
123,24,100.76
456,25,100.75
303,26,100.74
474,26,100.74
77,28,100.72
361,31,100.69
64,33,100.67
449,20,99.80
489,21,99.79
67,22,99.78
192,23,99.77
352,23,99.77
437,23,99.77
547,23,99.77
43,24,99.76
511,24,99.76
10,25,99.75
597,25,99.75
570,26,99.74
580,27,99.73
72,30,99.70
272,20,98.80
17,21,98.79
443,22,98.78
544,22,98.78
180,23,98.77
217,23,98.77
175,24,98.76
60,25,98.75
264,25,98.75
516,26,98.74
133,27,98.73
310,20,97.80
505,21,97.79
73,24,97.76
111,26,97.74
182,26,97.74
422,26,97.74
498,27,97.73
461,28,97.72
578,22,96.78
101,24,96.76
69,25,96.75
326,25,96.75
551,26,96.74
561,27,96.73
596,28,96.72
169,22,95.78
476,22,95.78
488,22,95.78
37,23,95.77
216,23,95.77
291,23,95.77
364,23,95.77
431,23,95.77
24,25,95.75
232,25,95.75
507,25,95.75
132,28,95.72
542,18,94.82
238,21,94.79
68,22,94.78
134,23,94.77
153,24,94.76
330,25,94.75
142,26,94.74
81,22,93.78
189,22,93.78
523,22,93.78
415,23,93.77
130,24,93.76
229,25,93.75
235,25,93.75
377,26,93.74
6,28,93.72
174,21,92.79
301,21,92.79
8,24,92.76
104,24,92.76
188,25,92.75
36,27,92.73
151,27,92.73
228,27,92.73
212,20,91.80
33,21,91.79
222,21,91.79
399,21,91.79
18,22,91.78
325,22,91.78
93,23,91.77
392,23,91.77
99,24,91.76
382,24,91.76
564,24,91.76
435,25,91.75
463,25,91.75
208,26,91.74
215,26,91.74
115,30,91.70
552,21,90.79
539,22,90.78
184,23,90.77
328,23,90.77
501,21,89.79
545,21,89.79
143,22,89.78
9,23,89.77
233,23,89.77
313,23,89.77
34,24,89.76
351,24,89.76
384,25,89.75
419,25,89.75
357,26,89.74
450,26,89.74
483,18,88.82
203,20,88.80
496,21,88.79
440,22,88.78
534,24,88.76
369,25,88.75
278,26,88.74
194,18,87.82
524,19,87.81
88,21,87.79
226,21,87.79
85,23,87.77
227,24,87.76
455,24,87.76
195,19,86.81
478,19,86.81
165,21,86.79
283,28,86.72
567,20,85.80
412,21,85.79
315,17,84.83
79,22,84.78
394,22,84.78
62,23,84.77
185,23,84.77
140,18,83.82
599,19,83.81
152,21,83.79
556,21,83.79
598,22,83.78
118,21,82.79
543,22,82.78
243,24,82.76
4,22,81.78
527,24,81.76
223,17,80.83
70,18,80.82
205,18,80.82
358,21,80.79
521,23,80.77
288,24,80.76
411,26,80.74
548,19,79.81
402,20,79.80
94,21,79.79
420,21,79.79
430,22,79.78
398,16,78.84
428,20,78.80
335,23,78.77
95,18,77.82
549,20,77.80
76,23,77.77
48,17,76.83
224,22,76.78
183,23,76.77
530,23,76.77
413,21,75.79
555,17,74.83
525,19,74.81
191,20,74.80
514,22,74.78
464,16,73.84
124,18,73.82
344,18,73.82
250,20,73.80
401,21,73.79
350,23,73.77
557,24,73.76
353,18,72.82
355,20,72.80
117,19,71.81
378,19,71.81
162,20,71.80
320,20,71.80
177,23,71.77
255,18,70.82
370,19,70.81
465,17,69.83
271,18,68.82
159,21,68.79
218,18,67.82
164,16,66.84
458,19,66.81
568,21,66.79
492,16,65.84
586,19,64.81
252,22,64.78
136,15,62.85
110,14,59.86
61,14,58.86
97,18,58.82
395,19,57.81
318,12,52.88
281,14,50.86
248,15,50.85
